original_ID,original_ADDRESS,original_POSTCODE,original_CITY,original_STATE,original_COUNTRY,original_source,lat,lon,formatted,name,housenumber,street,postcode,district,suburb,county_code,city,county,state,state_code,country,country_code,confidence,confidence_city_level,confidence_street_level,confidence_building_level,attribution,attribution_license,attribution_url
1,"Av. Brigadeiro Faria Lima, 2170",12227-000,São José dos Campos,SP,Brazil,Customer,-23.2255212,-45.8552797,"Avenida Brigadeiro Faria Lima 2170, Jardim Uirá, São José dos Campos - SP, 12227-751, Brazil",Avenida Brigadeiro Faria Lima,2170,Avenida Brigadeiro Faria Lima,12227-751,São José dos Campos,Jardim Uirá,,São José dos Campos,Região Metropolitana do Vale do Paraíba e Litoral Norte,São Paulo,SP,Brazil,br,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2,Theodor-Heuss-Straße 34,70174,Stuttgart,NA,Germany,Customer,48.7756599,9.171711437380297,"Theodor-Heuss-Straße 34, 70174 Stuttgart, Germany",,34,Theodor-Heuss-Straße,70174,Neue Vorstadt,Stuttgart-Mitte,,Stuttgart,,Baden-Württemberg,BW,Germany,de,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3,1498 rue Bélanger,H2G 1A7,Montréal,QC,Canada,Customer,45.5449832,-73.604561,"1498 Rue Bélanger, Montreal, QC H2G 1A7, Canada",,1498,Rue Bélanger,H2G 1A7,La Petite-Patrie,Rosemont–La Petite-Patrie,,Montreal,Urban agglomeration of Montreal,Quebec,QC,Canada,ca,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4,Ullevålsveien 14,0171,Oslo,NA,Norway,Customer,59.923146,10.740944,"Ullevålsveien 14, 0171 Oslo, Norway",,14,Ullevålsveien,0171,,St. Hanshaugen,,Oslo,,,,Norway,no,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
5,Klanova 9/506,14700,Prague,NA,Czech Republic,Customer,50.022298556867185,14.419057126255705,"Klánova, 147 00 Capital City of Prague, Czechia",Klánova,,Klánova,147 00,obvod Praha 4,Hodkovičky,,Capital City of Prague,,Prague,,Czechia,cz,0.5,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
6,Rilská 3174/6,14300,Prague,NA,Czech Republic,Customer,50.0084679,14.4279078,"Rilská 3174/6, 143 00 Capital City of Prague, Czechia",,3174/6,Rilská,143 00,obvod Praha 4,Modřany,,Capital City of Prague,,Prague,,Czechia,cz,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
7,"Rotenturmstraße 4, 1010 Innere Stadt",1010,Vienne,NA,Austria,Customer,48.2097309,16.3738034,"Rotenturmstraße 4, 1010 Vienna, Austria",,4,Rotenturmstraße,1010,Wien,Innere Stadt,,Vienna,,,,Austria,at,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
8,Grétrystraat 63,1000,Brussels,NA,Belgium,Customer,50.8486677,4.3529277,"Rue Grétry - Grétrystraat 63, 1000 Brussels, Belgium",,63,Rue Grétry - Grétrystraat,1000,Brussels,Pentagon,,Brussels,Brussels-Capital,Brussels-Capital,,Belgium,be,0.9,1,0.9,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
9,Sønder Boulevard 51,1720,Copenhagen,NA,Denmark,Customer,55.66655,12.55315,"Sønder Boulevard 51, 1720 Copenhagen, Denmark",,51,Sønder Boulevard,1720,,Vesterbro,,Copenhagen,,Capital Region of Denmark,,Denmark,dk,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
10,"Rua Dr. Falcão Filho, 155",01007-010,São Paulo,SP,Brazil,Customer,-23.5484484,-46.6381561,"Rua Doutor Falcão Filho 155, Glicério, São Paulo - SP, 01007-010, Brazil",,155,Rua Doutor Falcão Filho,01007-010,,Glicério,,São Paulo,Região Metropolitana de São Paulo,São Paulo,SP,Brazil,br,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
11,"Av. Paulista, 2022",01310-200,São Paulo,SP,Brazil,Customer,-23.138992,-46.558079,"Avenida Paulista 2022, Atibaia - Southeast, 12940-000, Brazil",,2022,Avenida Paulista,12940-000,Atibaia,,SP,Atibaia,Sao Paulo,Southeast,,Brazil,br,0.5,1,1,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
